Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-25,13,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-25,13,NI,MTI2201 MTI0,MRPL,ENOF,138.000,.000,.000
2019-06-25,13,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-25,13,NI,OHK2201 OHK0,MRPL,ENOF,53.000,.000,.000
2019-06-25,13,NI,WKM2201 WKM0,MRPL,ENOF,69.000,.000,.000
2019-06-25,13,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,13,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-25,13,NI,SWN2201,MRPL,ILRO,.000,.006,.006
2019-06-25,13,NI,ARA2201 ARA0,MRPL,PLRO,.000,.000,.988
2019-06-25,13,NI,ARI1101 ARI0,MRPL,PLRO,.000,2.000,.000
2019-06-25,13,NI,KPO1101 KPO0,MRPL,PLRO,.000,6.992,8.000
2019-06-25,13,NI,MTI2201 MTI0,MRPL,PLRO,.000,21.000,28.000
2019-06-25,13,NI,WPA2201 WPA0,MRPL,PLRO,.000,4.994,8.000
2019-06-25,13,NI,MPE1101,NTHP,ILRO,.000,.000,3.000
2019-06-25,13,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-25,13,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-25,13,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-25,13,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-25,13,NI,KPA1101 KPI1,TODD,ENOF,7.000,.000,.000
2019-06-25,13,NI,MKE1101 MKE1,TODD,ENOF,47.600,.000,.000
2019-06-25,13,SI,BWK1101 WPI0,TRUS,ENOF,31.000,.000,.000
2019-06-25,13,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-25,13,NI,HWA1101 PTA1,TRUS,ENOF,3.000,.000,.000
2019-06-25,13,SI,HWB0331 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-25,13,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-25,13,SI,NSY0331 PAE0,TRUS,ENOF,11.000,.000,.000
2019-06-25,13,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,13,SI,STK0661 COB0,TRUS,ENOF,26.000,.000,.000
2019-06-25,13,NI,TGA0331 KMI0,TRUS,ENOF,6.000,.000,.000
2019-06-25,13,NI,HWA1101 PTA1,TRUS,PLRO,.000,7.500,7.380
2019-06-25,13,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,18.900
2019-06-25,13,NI,ROT1101 WHE0,TRUS,PLRO,.000,2.600,5.200
2019-06-25,13,NI,WKM2201 MOK0,TUAR,ENOF,105.000,.000,.000
2019-06-25,13,NI,PEN0331,VCTR,ILRO,.000,.000,21.100
2019-06-25,13,NI,CPK0331,VWEN,ILRO,.000,.000,3.528
2019-06-25,13,NI,HAM0331,WNET,ILRO,.000,5.231,4.234
2019-06-25,13,NI,NAP2201 NAP0,NAPJ,ENOF,137.000,.000,.000
2019-06-25,12,NI,GLN0332 GLN0,ALNT,ENOF,52.000,.000,.000
2019-06-25,12,SI,CYD2201 CYD0,CTCT,ENOF,300.000,.000,.000
2019-06-25,12,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-25,12,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-25,12,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-25,12,SI,ROX2201 ROX0,CTCT,ENOF,155.000,.000,.000
2019-06-25,12,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-25,12,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-25,12,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-25,12,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-25,12,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-25,12,SI,CYD2201 CYD0,CTCT,PLRO,.000,27.601,48.000
2019-06-25,12,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-25,12,SI,ROX2201 ROX0,CTCT,PLRO,.000,7.000,7.000
2019-06-25,12,NI,WGN0331,ERGY,ILRO,.000,50.000,62.038
2019-06-25,12,NI,HLY2201 HLY4,GENE,ENOF,80.000,.000,.000
2019-06-25,12,NI,HLY2201 HLY5,GENE,ENOF,260.000,.000,.000
2019-06-25,12,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-25,12,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-25,12,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-25,12,NI,TUI1101 KTW0,GENE,ENOF,20.000,.000,.000
2019-06-25,12,NI,TUI1101 PRI0,GENE,ENOF,25.000,.000,.000
2019-06-25,12,NI,TUI1101 TUI0,GENE,ENOF,40.000,.000,.000
2019-06-25,12,NI,HLY2201 HLY4,GENE,PLRO,.000,.001,.002
2019-06-25,12,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.002
2019-06-25,12,SI,TKB2201 TKB1,GENE,PLRO,.000,.001,.003
2019-06-25,12,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.001
2019-06-25,12,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.002
2019-06-25,12,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.701
2019-06-25,12,SI,AVI2201 AVI0,MERI,ENOF,54.025,.000,.000
2019-06-25,12,SI,BEN2202 BEN0,MERI,ENOF,404.000,.000,.000
2019-06-25,12,SI,MAN2201 MAN0,MERI,ENOF,738.000,.000,.000
2019-06-25,12,SI,OHA2201 OHA0,MERI,ENOF,47.963,.000,.000
2019-06-25,12,SI,OHB2201 OHB0,MERI,ENOF,52.006,.000,.000
2019-06-25,12,SI,OHC2201 OHC0,MERI,ENOF,52.006,.000,.000
2019-06-25,12,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-25,12,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-25,12,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-25,12,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-25,12,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-25,12,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-25,12,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-25,12,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-25,12,NI,ARA2201 ARA0,MRPL,ENOF,26.000,.000,.000
2019-06-25,12,NI,ARI1101 ARI0,MRPL,ENOF,28.449,.000,.000
2019-06-25,12,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,12,NI,ATI2201 ATI0,MRPL,ENOF,19.000,.000,.000
2019-06-25,12,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-25,12,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-25,12,NI,MTI2201 MTI0,MRPL,ENOF,103.000,.000,.000
2019-06-25,12,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-25,12,NI,OHK2201 OHK0,MRPL,ENOF,27.000,.000,.000
2019-06-25,12,NI,WKM2201 WKM0,MRPL,ENOF,46.000,.000,.000
2019-06-25,12,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,12,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-25,12,NI,SWN2201,MRPL,ILRO,.000,1.000,1.000
2019-06-25,12,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.000
2019-06-25,12,NI,KPO1101 KPO0,MRPL,PLRO,.000,6.992,8.000
2019-06-25,12,NI,MTI2201 MTI0,MRPL,PLRO,.000,22.000,29.000
2019-06-25,12,NI,WPA2201 WPA0,MRPL,PLRO,.000,4.994,7.000
2019-06-25,12,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-25,12,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-25,12,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-25,12,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-25,12,NI,KPA1101 KPI1,TODD,ENOF,7.000,.000,.000
2019-06-25,12,SI,BWK1101 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-25,12,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-25,12,SI,HWB0331 WPI0,TRUS,ENOF,2.000,.000,.000
2019-06-25,12,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-25,12,SI,NSY0331 PAE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,12,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,12,SI,STK0661 COB0,TRUS,ENOF,26.000,.000,.000
2019-06-25,12,NI,TGA0331 KMI0,TRUS,ENOF,6.000,.000,.000
2019-06-25,12,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,18.900
2019-06-25,12,NI,ROT1101 WHE0,TRUS,PLRO,.000,2.600,5.200
2019-06-25,12,NI,WKM2201 MOK0,TUAR,ENOF,105.000,.000,.000
2019-06-25,12,NI,PEN0331,VCTR,ILRO,.000,.000,14.450
2019-06-25,12,NI,CPK0331,VWEN,ILRO,.000,.000,2.615
2019-06-25,12,NI,HAM0331,WNET,ILRO,.000,4.822,3.903
2019-06-25,12,NI,NAP2201 NAP0,NAPJ,ENOF,137.000,.000,.000
2019-06-25,11,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-25,11,SI,CYD2201 CYD0,CTCT,ENOF,205.000,.000,.000
2019-06-25,11,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-25,11,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-25,11,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-25,11,SI,ROX2201 ROX0,CTCT,ENOF,115.000,.000,.000
2019-06-25,11,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-25,11,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-25,11,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-25,11,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-25,11,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-25,11,SI,CYD2201 CYD0,CTCT,PLRO,.000,20.000,25.000
2019-06-25,11,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-25,11,SI,ROX2201 ROX0,CTCT,PLRO,.000,4.600,4.600
2019-06-25,11,NI,WGN0331,ERGY,ILRO,.000,64.037,55.000
2019-06-25,11,NI,HLY2201 HLY5,GENE,ENOF,260.000,.000,.000
2019-06-25,11,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-25,11,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-25,11,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-25,11,NI,TUI1101 KTW0,GENE,ENOF,20.000,.000,.000
2019-06-25,11,NI,TUI1101 PRI0,GENE,ENOF,25.000,.000,.000
2019-06-25,11,NI,TUI1101 TUI0,GENE,ENOF,40.000,.000,.000
2019-06-25,11,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-25,11,SI,TKB2201 TKB1,GENE,PLRO,.000,.002,.003
2019-06-25,11,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.000
2019-06-25,11,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.001
2019-06-25,11,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.700
2019-06-25,11,SI,AVI2201 AVI0,MERI,ENOF,56.648,.000,.000
2019-06-25,11,SI,BEN2202 BEN0,MERI,ENOF,315.000,.000,.000
2019-06-25,11,SI,MAN2201 MAN0,MERI,ENOF,738.000,.000,.000
2019-06-25,11,SI,OHA2201 OHA0,MERI,ENOF,50.292,.000,.000
2019-06-25,11,SI,OHB2201 OHB0,MERI,ENOF,54.530,.000,.000
2019-06-25,11,SI,OHC2201 OHC0,MERI,ENOF,54.530,.000,.000
2019-06-25,11,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-25,11,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-25,11,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-25,11,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-25,11,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-25,11,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-25,11,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-25,11,SI,AVI2201 AVI0,MERI,TWRO,.000,.000,10.490
2019-06-25,11,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-25,11,SI,OHA2201 OHA0,MERI,TWRO,.000,.000,9.314
2019-06-25,11,SI,OHB2201 OHB0,MERI,TWRO,.000,.000,8.256
2019-06-25,11,SI,OHC2201 OHC0,MERI,TWRO,.000,.000,10.098
2019-06-25,11,NI,ARA2201 ARA0,MRPL,ENOF,26.000,.000,.000
2019-06-25,11,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-25,11,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,11,NI,ATI2201 ATI0,MRPL,ENOF,19.000,.000,.000
2019-06-25,11,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-25,11,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-25,11,NI,MTI2201 MTI0,MRPL,ENOF,69.000,.000,.000
2019-06-25,11,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-25,11,NI,OHK2201 OHK0,MRPL,ENOF,27.000,.000,.000
2019-06-25,11,NI,SWN2201 SWN1,MRPL,ENOF,.838,.000,.000
2019-06-25,11,NI,WKM2201 WKM0,MRPL,ENOF,32.299,.000,.000
2019-06-25,11,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,11,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-25,11,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.995
2019-06-25,11,NI,KPO1101 KPO0,MRPL,PLRO,.000,7.000,8.000
2019-06-25,11,NI,MTI2201 MTI0,MRPL,PLRO,.000,24.000,31.000
2019-06-25,11,NI,WKM2201 WKM0,MRPL,PLRO,.000,1.000,1.000
2019-06-25,11,NI,WPA2201 WPA0,MRPL,PLRO,.000,2.000,3.000
2019-06-25,11,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-25,11,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-25,11,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-25,11,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-25,11,NI,KPA1101 KPI1,TODD,ENOF,7.000,.000,.000
2019-06-25,11,SI,BWK1101 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-25,11,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-25,11,SI,HWB0331 WPI0,TRUS,ENOF,2.000,.000,.000
2019-06-25,11,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-25,11,SI,NSY0331 PAE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,11,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,11,SI,STK0661 COB0,TRUS,ENOF,26.000,.000,.000
2019-06-25,11,NI,TGA0331 KMI0,TRUS,ENOF,6.000,.000,.000
2019-06-25,11,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,18.900
2019-06-25,11,NI,ROT1101 WHE0,TRUS,PLRO,.000,2.600,5.200
2019-06-25,11,NI,WKM2201 MOK0,TUAR,ENOF,105.000,.000,.000
2019-06-25,11,NI,PEN0331,VCTR,ILRO,.000,.000,10.200
2019-06-25,11,NI,CPK0331,VWEN,ILRO,.000,.000,1.002
2019-06-25,11,NI,HAM0331,WNET,ILRO,.000,3.823,3.095
2019-06-25,11,NI,NAP2201 NAP0,NAPJ,ENOF,137.000,.000,.000
2019-06-25,10,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-25,10,SI,CYD2201 CYD0,CTCT,ENOF,205.000,.000,.000
2019-06-25,10,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-25,10,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-25,10,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-25,10,SI,ROX2201 ROX0,CTCT,ENOF,115.000,.000,.000
2019-06-25,10,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-25,10,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-25,10,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-25,10,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-25,10,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-25,10,SI,CYD2201 CYD0,CTCT,PLRO,.000,20.000,25.000
2019-06-25,10,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-25,10,SI,ROX2201 ROX0,CTCT,PLRO,.000,4.600,4.600
2019-06-25,10,NI,WGN0331,ERGY,ILRO,.000,78.243,55.000
2019-06-25,10,NI,HLY2201 HLY5,GENE,ENOF,235.000,.000,.000
2019-06-25,10,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-25,10,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-25,10,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-25,10,NI,TUI1101 KTW0,GENE,ENOF,20.000,.000,.000
2019-06-25,10,NI,TUI1101 PRI0,GENE,ENOF,25.000,.000,.000
2019-06-25,10,NI,TUI1101 TUI0,GENE,ENOF,40.000,.000,.000
2019-06-25,10,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-25,10,SI,TKB2201 TKB1,GENE,PLRO,.000,.002,.003
2019-06-25,10,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.000
2019-06-25,10,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.001
2019-06-25,10,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.700
2019-06-25,10,SI,AVI2201 AVI0,MERI,ENOF,49.829,.000,.000
2019-06-25,10,SI,BEN2202 BEN0,MERI,ENOF,226.000,.000,.000
2019-06-25,10,SI,MAN2201 MAN0,MERI,ENOF,738.000,.000,.000
2019-06-25,10,SI,OHA2201 OHA0,MERI,ENOF,44.239,.000,.000
2019-06-25,10,SI,OHB2201 OHB0,MERI,ENOF,47.966,.000,.000
2019-06-25,10,SI,OHC2201 OHC0,MERI,ENOF,47.966,.000,.000
2019-06-25,10,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-25,10,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-25,10,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-25,10,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-25,10,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-25,10,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-25,10,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-25,10,SI,AVI2201 AVI0,MERI,TWRO,.000,.000,10.490
2019-06-25,10,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-25,10,SI,OHA2201 OHA0,MERI,TWRO,.000,.000,9.314
2019-06-25,10,SI,OHB2201 OHB0,MERI,TWRO,.000,.000,10.098
2019-06-25,10,SI,OHC2201 OHC0,MERI,TWRO,.000,.000,10.098
2019-06-25,10,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,10,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-25,10,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,10,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-25,10,NI,KPO1101 KPO0,MRPL,ENOF,40.000,.000,.000
2019-06-25,10,NI,MTI2201 MTI0,MRPL,ENOF,47.681,.000,.000
2019-06-25,10,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-25,10,NI,WKM2201 WKM0,MRPL,ENOF,23.000,.000,.000
2019-06-25,10,NI,WPA2201 WPA0,MRPL,ENOF,12.000,.000,.000
2019-06-25,10,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-25,10,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.995
2019-06-25,10,NI,KPO1101 KPO0,MRPL,PLRO,.000,7.000,9.000
2019-06-25,10,NI,MTI2201 MTI0,MRPL,PLRO,.000,18.596,30.000
2019-06-25,10,NI,WKM2201 WKM0,MRPL,PLRO,.000,.989,.989
2019-06-25,10,NI,WPA2201 WPA0,MRPL,PLRO,.000,1.092,2.184
2019-06-25,10,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-25,10,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-25,10,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-25,10,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-25,10,NI,KPA1101 KPI1,TODD,ENOF,7.000,.000,.000
2019-06-25,10,SI,BWK1101 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-25,10,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-25,10,SI,HWB0331 WPI0,TRUS,ENOF,2.000,.000,.000
2019-06-25,10,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-25,10,SI,NSY0331 PAE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,10,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-25,10,SI,STK0661 COB0,TRUS,ENOF,16.000,.000,.000
2019-06-25,10,NI,TGA0331 KMI0,TRUS,ENOF,6.000,.000,.000
2019-06-25,10,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,18.900
2019-06-25,10,NI,ROT1101 WHE0,TRUS,PLRO,.000,2.600,5.200
2019-06-25,10,NI,WKM2201 MOK0,TUAR,ENOF,105.000,.000,.000
2019-06-25,10,NI,PEN0331,VCTR,ILRO,.000,.000,9.672
2019-06-25,10,NI,CPK0331,VWEN,ILRO,.000,.000,1.089
2019-06-25,10,NI,HAM0331,WNET,ILRO,.000,3.050,2.469
2019-06-25,10,NI,NAP2201 NAP0,NAPJ,ENOF,137.000,.000,.000
2019-06-25,9,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-25,9,SI,CYD2201 CYD0,CTCT,ENOF,103.000,.000,.000
2019-06-25,9,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-25,9,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-25,9,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-25,9,SI,ROX2201 ROX0,CTCT,ENOF,115.000,.000,.000
2019-06-25,9,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-25,9,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-25,9,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-25,9,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-25,9,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-25,9,SI,CYD2201 CYD0,CTCT,PLRO,.000,4.000,3.090
2019-06-25,9,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-25,9,SI,ROX2201 ROX0,CTCT,PLRO,.000,4.600,4.600
2019-06-25,9,NI,WGN0331,ERGY,ILRO,.000,85.230,73.753
2019-06-25,9,NI,HLY2201 HLY5,GENE,ENOF,220.000,.000,.000
2019-06-25,9,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-25,9,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-25,9,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-25,9,NI,TUI1101 KTW0,GENE,ENOF,20.000,.000,.000
2019-06-25,9,NI,TUI1101 PRI0,GENE,ENOF,25.000,.000,.000
2019-06-25,9,NI,TUI1101 TUI0,GENE,ENOF,40.000,.000,.000
2019-06-25,9,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.002
2019-06-25,9,SI,TKB2201 TKB1,GENE,PLRO,.000,.002,.003
2019-06-25,9,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.001
2019-06-25,9,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.002
2019-06-25,9,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.701
2019-06-25,9,SI,AVI2201 AVI0,MERI,ENOF,52.451,.000,.000
2019-06-25,9,SI,BEN2202 BEN0,MERI,ENOF,226.000,.000,.000
2019-06-25,9,SI,MAN2201 MAN0,MERI,ENOF,738.000,.000,.000
2019-06-25,9,SI,OHA2201 OHA0,MERI,ENOF,46.569,.000,.000
2019-06-25,9,SI,OHB2201 OHB0,MERI,ENOF,50.490,.000,.000
2019-06-25,9,SI,OHC2201 OHC0,MERI,ENOF,50.490,.000,.000
2019-06-25,9,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-25,9,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-25,9,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-25,9,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-25,9,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-25,9,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-25,9,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-25,9,SI,AVI2201 AVI0,MERI,TWRO,.000,.000,10.490
2019-06-25,9,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-25,9,SI,OHA2201 OHA0,MERI,TWRO,.000,.000,9.314
2019-06-25,9,SI,OHB2201 OHB0,MERI,TWRO,.000,.000,10.098
2019-06-25,9,SI,OHC2201 OHC0,MERI,TWRO,.000,.000,10.098
2019-06-25,9,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-25,9,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-25,9,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-25,9,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
